"response_id","travelled_with"
"GEN24_1001865","Child/children aged under 15"
"GEN24_1001865","My husband, wife or partner"
"GEN24_1001865","Other adult family / relative"
"GEN24_1001866","My husband, wife or partner"
"GEN24_1001872","Other adult family / relative"
"GEN24_1001881","No one, I was on my own"
"GEN24_1001884","Other adult family / relative"
"GEN24_1001885","Other adult family / relative"
"GEN24_1001887","Other adult family / relative"
"GEN24_1001889","Child/children aged under 15"
"GEN24_1001893","Child/children aged under 15"
"GEN24_1001893","My husband, wife or partner"
"GEN24_1001901","No one, I was on my own"
"GEN24_1001904","My husband, wife or partner"
"GEN24_1001906","No one, I was on my own"
"GEN24_1001908","Child/children aged 15 or older"
"GEN24_1001908","Other adult family / relative"
"GEN24_1001915","My husband, wife or partner"
"GEN24_1001917","My husband, wife or partner"
"GEN24_1001918","No one, I was on my own"
"GEN24_1001919","Child/children aged under 15"
"GEN24_1001919","My husband, wife or partner"
"GEN24_1001921","Other adult family / relative"
"GEN24_1001924","Other adult family / relative"
"GEN24_1001926","No one, I was on my own"
"GEN24_1001930","My husband, wife or partner"
"GEN24_1001932","No one, I was on my own"
"GEN24_1001933","My husband, wife or partner"
"GEN24_1001934","My husband, wife or partner"
"GEN24_1001935","No one, I was on my own"
"GEN24_1001936","No one, I was on my own"
"GEN24_1001940","Child/children aged under 15"
"GEN24_1001940","Other adult family / relative"
"GEN24_1001940","Other adult(s) who are not family / relatives"
"GEN24_1001943","My husband, wife or partner"
"GEN24_1001944","My husband, wife or partner"
"GEN24_1001945","No one, I was on my own"
"GEN24_1001948","Child/children aged 15 or older"
"GEN24_1001951","Other adult family / relative"
"GEN24_1001955","My husband, wife or partner"
"GEN24_1001957","No one, I was on my own"
"GEN24_1001961","No one, I was on my own"
"GEN24_1001963","My husband, wife or partner"
"GEN24_1001970","Other adult family / relative"
"GEN24_1001971","Child/children aged 15 or older"
"GEN24_1001972","Child/children aged 15 or older"
"GEN24_1001975","No one, I was on my own"
"GEN24_1001976","No one, I was on my own"
"GEN24_1001978","Child/children aged 15 or older"
"GEN24_1001978","Child/children aged under 15"
"GEN24_1001978","My husband, wife or partner"
"GEN24_1001984","Other adult family / relative"
"GEN24_1001985","No one, I was on my own"
"GEN24_1001986","No one, I was on my own"
"GEN24_1001987","My husband, wife or partner"
"GEN24_1001987","Other adult family / relative"
"GEN24_1001988","My husband, wife or partner"
"GEN24_1001988","Other adult family / relative"
"GEN24_1001989","No one, I was on my own"
"GEN24_1001992","No one, I was on my own"
"GEN24_1001993","No one, I was on my own"
"GEN24_1001998","No one, I was on my own"
"GEN24_1002000","Other adult(s) who are not family / relatives"
"GEN24_1002003","Child/children aged under 15"
"GEN24_1002005","No one, I was on my own"
"GEN24_1002007","Child/children aged under 15"
"GEN24_1002007","My husband, wife or partner"
"GEN24_1002009","Child/children aged 15 or older"
"GEN24_1002009","My husband, wife or partner"
"GEN24_1002010","My husband, wife or partner"
"GEN24_1002011","Other adult(s) who are not family / relatives"
"GEN24_1002012","Other adult(s) who are not family / relatives"
"GEN24_1002013","My husband, wife or partner"
"GEN24_1002014","Child/children aged under 15"
"GEN24_1002016","Other adult(s) who are not family / relatives"
"GEN24_1002017","Child/children aged 15 or older"
"GEN24_1002018","My husband, wife or partner"
"GEN24_1002020","My husband, wife or partner"
"GEN24_1002021","My husband, wife or partner"
"GEN24_1002022","My husband, wife or partner"
"GEN24_1002025","Other adult family / relative"
"GEN24_1002026","Other adult family / relative"
"GEN24_1002027","Other adult family / relative"
"GEN24_1002028","My husband, wife or partner"
"GEN24_1002030","Other adult(s) who are not family / relatives"
"GEN24_1002031","No one, I was on my own"
"GEN24_1002032","My husband, wife or partner"
"GEN24_1002035","Child/children aged under 15"
"GEN24_1002035","Other adult family / relative"
"GEN24_1002037","Child/children aged 15 or older"
"GEN24_1002039","Other adult family / relative"
"GEN24_1002042","No one, I was on my own"
"GEN24_1002043","My husband, wife or partner"
"GEN24_1002046","No one, I was on my own"
"GEN24_1002050","Other adult(s) who are not family / relatives"
"GEN24_1002052","Child/children aged 15 or older"
"GEN24_1002065","My husband, wife or partner"
"GEN24_1002070","Child/children aged 15 or older"
"GEN24_1002070","Child/children aged under 15"
"GEN24_1002072","No one, I was on my own"
"GEN24_1002074","Other adult(s) who are not family / relatives"
"GEN24_1002077","My husband, wife or partner"
"GEN24_1002078","No one, I was on my own"
"GEN24_1002079","No one, I was on my own"
"GEN24_1002083","My husband, wife or partner"
"GEN24_1002088","No one, I was on my own"
"GEN24_1002089","My husband, wife or partner"
"GEN24_1002092","Other adult(s) who are not family / relatives"
"GEN24_1002093","Other adult(s) who are not family / relatives"
"GEN24_1002094","Other adult(s) who are not family / relatives"
"GEN24_1002095","Other adult(s) who are not family / relatives"
"GEN24_1002096","Other adult(s) who are not family / relatives"
"GEN24_1002110","No one, I was on my own"
"GEN24_1002111","My husband, wife or partner"
"GEN24_1002113","My husband, wife or partner"
"GEN24_1002114","No one, I was on my own"
"GEN24_1002115","My husband, wife or partner"
"GEN24_1002119","My husband, wife or partner"
"GEN24_1002120","My husband, wife or partner"
"GEN24_1002121","My husband, wife or partner"
"GEN24_1002122","Child/children aged 15 or older"
"GEN24_1002122","Child/children aged under 15"
"GEN24_1002126","No one, I was on my own"
"GEN24_1002128","No one, I was on my own"
"GEN24_1002130","My husband, wife or partner"
"GEN24_1002133","No one, I was on my own"
"GEN24_1002136","Other adult(s) who are not family / relatives"
"GEN24_1002138","Child/children aged under 15"
"GEN24_1002138","My husband, wife or partner"
"GEN24_1002139","Child/children aged under 15"
"GEN24_1002139","My husband, wife or partner"
