==== tree_model_full: summary() ===
Call:
rpart(formula = recommend_rating ~ ., data = select(df, -response_id, 
    -visit_purpose, -country_of_residence_group), method = "anova", 
    control = rpart.control(cp = 1e-04, xval = 10))
  n= 21551 

              CP nsplit rel error    xerror       xstd
441 0.0001410439    942 0.6351413 1.2798035 0.02084620
442 0.0001404953    944 0.6348592 1.2799059 0.02084349
443 0.0001397392    945 0.6347187 1.2803597 0.02084878
444 0.0001396743    946 0.6345790 1.2805919 0.02084864
445 0.0001393406    948 0.6342996 1.2806721 0.02084916
446 0.0001389383    949 0.6341603 1.2806547 0.02084902
447 0.0001370728    954 0.6334656 1.2812266 0.02085241
448 0.0001370506    955 0.6333285 1.2817944 0.02086447
449 0.0001367689    956 0.6331915 1.2818121 0.02086454
450 0.0001366535    958 0.6329179 1.2818111 0.02086478
451 0.0001365137    960 0.6326446 1.2820971 0.02086716
452 0.0001361042    961 0.6325081 1.2821041 0.02086722
453 0.0001356817    962 0.6323720 1.2821274 0.02086720
454 0.0001356503    964 0.6321006 1.2822152 0.02086791
455 0.0001356420    967 0.6316937 1.2822773 0.02086849
456 0.0001352919    973 0.6308164 1.2825708 0.02087108
