term,estimate,std_error,t_value,p_value,percent_effect,dollar_effect
transport_scenic_trains,0.032963364895084286,0.02089184943814114,1.5778098053351286,0.11462376762521152,3.351267570243621,114.6652704151638
accomm_youth_hostel_ymca_ywca,-0.0401721316129768,0.0254975120611132,-1.5755314289759343,0.11514828815538346,-3.937592885063035,-134.72667982692758
transport_bus_service_between_towns_cities,-0.02825988451653444,0.018117951439509047,-1.5597726161749892,0.11882808839406848,-2.786430904465076,-95.33910571349298
transport_hitch_hiking,-0.07515026709484043,0.04852011799457006,-1.5488475750048791,0.12143282956941034,-7.239591251610278,-247.706180172537
visit_purpose_for_a_working_holiday,-0.06289270125466719,0.041248668093548976,-1.5247207767298356,0.12734321111220973,-6.09557734489703,-208.56318092749416
travel_party_other_adult_s_who_are_not_family_relatives,0.029735126386898885,0.019531859046665996,1.5223909980025452,0.127925591220929,3.018162988211137,103.26793308691572
decision_friends_family_or_colleagues_talked_about_or_recommended_new_zealand,-0.021501867929182975,0.01433566040914347,-1.499886807828456,0.13365815482695975,-2.1272350726498135,-72.78439567398662
activity_other_natural_attraction_e_g_mountain_lake_river_forest_etc,-0.019608562725064418,0.01311899978648176,-1.494669033021078,0.13501526187940732,-1.9417565291311445,-66.43815595931268
arrival_season_winter,-0.02067484228696372,0.01402552319684167,-1.4740870623364248,0.14047253899730575,-2.046258306064286,-70.01373572420525
gender_male,0.013544609079714814,0.009309920124300885,1.4548577107939396,0.14572300352246426,1.3636752844377265,46.65882146711438
visit_purpose_holiday_other,0.04882264591774578,0.03383895438764012,1.442794164336784,0.1490927792035706,5.003410638964412,171.19415919190698
other_countries_no_countries_visited,-0.013930848995563464,0.009658420569063242,-1.442352701039462,0.149217214389543,-1.3834263743734643,-47.33461473667744
visit_purpose_sports_related,-0.094034010171742885,0.06534877344772885,-1.4389560080566588,0.15017729248224973,-8.974819610585916,-307.0778730748552
activity_a_public_museum_or_art_gallery,0.01627830710366473,0.011377040569706552,1.430803292291028,0.1525008811430658,1.6411520593176077,56.15282597694114
activity_scuba_diving_or_snorkelling,0.04783078720801152,0.033615628692021185,1.4228734986998581,0.15478708759252363,4.899313724819887,167.63243200672184
visit_purpose_related_to_your_job_or_business,-0.055077269545960955,0.0393884429140471,-1.3983104045557169,0.1620340479590151,-5.358798369869611,-183.3539254332858
itinerary_region_northland,0.02346090793978254,0.017057120899880564,1.3754318842839892,0.169011671430015,2.3738279925900496,81.22169387675487
decision_work_business,0.03467728842209668,0.02630919244538566,1.3180673824968994,0.18749489153031193,3.528555624963703,120.73126852177835
transport_other_ferry,0.02081569485857295,0.015850979724595718,1.3132118783972426,0.18912533447860738,2.1033852506439743,71.96836226801949
mobility_walking_or_climbing_stairs,-0.017642298164305893,0.013619144092814195,-1.2954043252699277,0.19519445415905728,-1.7487583995936529,-59.83462990560861
accomm_camping_at_a_national_park_department_of_conservation_camping_ground,-0.03565652182182606,0.02763872908343467,-1.2900926708383589,0.19703211916500027,-3.5028316716953833,-119.8511107916558
decision_sports_events_or_activities,0.035951617284485746,0.027913318049447692,1.2879736196463072,0.19776876808236005,3.660569147934445,125.24817622688234
age_range_20_24,0.04840127850718809,0.039118898926606444,1.2372863203025457,0.21599408356239594,4.95917494411835,169.68061310666926
activity_rafting_canoeing_kayaking,0.02249373586534505,0.01818243672703879,1.237113386012503,0.2160582685259329,2.274862750925899,77.83554939283444
activity_quad_biking_4wd_vehicle_tour,0.04231364409266865,0.03442150885699352,1.2292791774022322,0.21898037150212715,4.322162774479299,147.8849279939756
decision_my_travel_agent_talked_about_or_recommended_new_zealand,-0.07759747647995462,0.06358786128668252,-1.2203190185955537,0.22235711526513913,-7.466317857575067,-255.46374265847567
accomm_yacht_or_other_boat,-0.06074808846538278,0.05106050450459777,-1.1897275409786185,0.23416640713510598,-5.893972614329879,-201.66517578080928
activity_a_wildlife_sanctuary_a_sanctuary_for_new_zealands_endangered_species,0.016235497092336182,0.013793127757061312,1.1770714647389904,0.23917978816160285,1.6368008935838896,56.00394869841285
activity_zoo_or_wildlife_park,0.016494646321117686,0.014106866941464404,1.1692636210124636,0.24231017366612823,1.663143405324674,56.90527071131083
accomm_in_a_hut_at_a_national_park_department_of_conservation_area,-0.03900673809384417,0.03382822209243478,-1.1530827126314596,0.24888903362838963,-3.8255771198333566,-130.89400525182975
decision_the_variety_of_outdoor_and_adventure_activities,0.017437584968325766,0.015329677883117536,1.137504982249474,0.2553396998353176,1.7590507224899632,60.18678680247489
activity_fishing,0.028042986666448732,0.02522972715211639,1.1115057446864365,0.2663629324656532,2.8439892673864486,97.3084934483415
activity_theme_park_or_leisure_park,0.020293002233343512,0.018384180681088606,1.1038295687671558,0.2696792155983263,2.0500305094421023,70.1428035205874
itinerary_region_southland,0.016734918521651074,0.01579263809395418,1.0596658026411447,0.28930836375266816,1.6875731672826078,57.74114704835929
activity_other_boating,0.01648547830573821,0.01577139453736805,1.0452771482368437,0.2959064441710151,1.6622113603349087,56.87338033295384
